6.58E+00	1.3214
6.67E+00	1.3219
6.76E+00	1.3229
6.90E+00	1.3242
7.04E+00	1.3244
7.14E+00	1.3236
7.25E+00	1.3229
7.35E+00	1.3218
7.46E+00	1.32
7.58E+00	1.3183
7.69E+00	1.3158
7.81E+00	1.3123
7.94E+00	1.3086
8.07E+00	1.3047
8.20E+00	1.3007
8.33E+00	1.2964
8.48E+00	1.2917
8.70E+00	1.2835
8.93E+00	1.2735
9.09E+00	1.2655
9.26E+00	1.2561
9.52E+00	1.2387
9.80E+00	1.2151
1.00E+01	1.1926
1.02E+01	1.1659
1.03E+01	1.1501
1.04E+01	1.1323
1.05E+01	1.1136
1.06E+01	1.0971
1.08E+01	1.0867
1.09E+01	1.0833
1.10E+01	1.0886
1.11E+01	1.1023
1.14E+01	1.1439
1.16E+01	1.1983
1.19E+01	1.2546
1.22E+01	1.3194
1.25E+01	1.3822
1.28E+01	1.4412
1.30E+01	1.4683
1.32E+01	1.4928
1.33E+01	1.5132
1.35E+01	1.53
1.37E+01	1.5458
1.39E+01	1.5596
1.41E+01	1.5701
1.43E+01	1.5775
1.47E+01	1.5762
1.52E+01	1.5637
1.54E+01	1.5559
1.56E+01	1.5481
1.61E+01	1.5353
1.64E+01	1.5302
1.67E+01	1.5294
1.70E+01	1.5306
1.72E+01	1.5303
1.82E+01	1.5141
1.83E+01	1.5104
1.86E+01	1.5043
1.89E+01	1.4982
1.92E+01	1.4939
1.96E+01	1.4963
2.00E+01	1.4986
2.04E+01	1.4956
2.08E+01	1.4877
2.22E+01	1.4575
2.26E+01	1.4486
2.31E+01	1.439
2.36E+01	1.4282
2.46E+01	1.4102
2.50E+01	1.403
2.60E+01	1.3854
2.86E+01	1.3404
3.10E+01	1.2969
3.33E+01	1.2641
3.45E+01	1.253
3.56E+01	1.2445
3.70E+01	1.2371
3.82E+01	1.2317
3.96E+01	1.2243
4.11E+01	1.2054
4.28E+01	1.1742
4.36E+01	1.1549
4.46E+01	1.1496
4.55E+01	1.1853
4.62E+01	1.2543
4.67E+01	1.3474
4.74E+01	1.4725
4.80E+01	1.5874
4.88E+01	1.6841
5.00E+01	1.7505
5.13E+01	1.7649
5.28E+01	1.7668
5.35E+01	1.7687
5.42E+01	1.7792
5.50E+01	1.7955
5.57E+01	1.8052
5.64E+01	1.8041
5.70E+01	1.794
5.75E+01	1.7805
5.84E+01	1.741
5.93E+01	1.693
6.00E+01	1.661
6.10E+01	1.6419
6.13E+01	1.6396
6.25E+01	1.6372
6.38E+01	1.6471
6.47E+01	1.6596
6.56E+01	1.6754
6.66E+01	1.6945
6.76E+01	1.7167
6.90E+01	1.7466
7.05E+01	1.778
7.30E+01	1.8185
7.50E+01	1.8419
7.63E+01	1.8504
8.00E+01	1.8617
8.30E+01	1.8669
8.50E+01	1.8688
8.68E+01	1.8699
9.08E+01	1.8698
9.52E+01	1.8681
1.00E+02	1.8654
1.20E+02	1.8499
1.60E+02	1.8268
2.10E+02	1.8114
3.00E+02	1.7989
5.00E+02	1.7908
1.30E+03	1.7868
5.00E+03	1.7861
1.90E+04	1.7861
3.90E+04	1.7861
6.10E+04	1.7861
8.60E+04	1.7861
1.10E+05	1.7861
1.40E+05	1.7861
1.80E+05	1.7861
2.40E+05	1.7861
3.40E+05	1.7861
5.40E+05	1.7861
1.00E+06	1.7861
2.00E+06	1.7861
